[16:32:17.943] [INFO] ScreenCaptureService onCreate
[16:32:17.945] [INFO] onStartCommand engine=NCNN resultCode=-1
[16:32:17.991] [INFO] Model loaded: NCNN
[16:32:18.007] [INFO] Detection started, resolution=1264x2780
[16:32:31.296] [PERF] latency=46ms, fps=13.0, objects=0
[16:32:31.356] [PERF] latency=42ms, fps=13.0, objects=0
[16:32:31.436] [PERF] latency=54ms, fps=13.0, objects=0
[16:32:31.514] [PERF] latency=50ms, fps=13.0, objects=0
[16:32:31.585] [PERF] latency=52ms, fps=14.0, objects=0
[16:32:31.661] [PERF] latency=44ms, fps=14.0, objects=0
[16:32:31.767] [PERF] latency=83ms, fps=13.0, objects=0
[16:32:31.851] [PERF] latency=52ms, fps=13.0, objects=0
[16:32:31.943] [PERF] latency=52ms, fps=13.0, objects=0
[16:32:32.043] [PERF] latency=79ms, fps=13.0, objects=0
[16:32:32.127] [PERF] latency=57ms, fps=13.0, objects=0
[16:32:32.199] [PERF] latency=49ms, fps=13.0, objects=0
[16:32:32.275] [PERF] latency=45ms, fps=13.0, objects=0
[16:32:32.344] [PERF] latency=47ms, fps=13.0, objects=0
[16:32:32.410] [PERF] latency=45ms, fps=13.0, objects=0
[16:32:32.474] [PERF] latency=43ms, fps=13.0, objects=0
[16:32:32.552] [PERF] latency=56ms, fps=13.0, objects=0
[16:32:32.623] [PERF] latency=42ms, fps=13.0, objects=0
[16:32:32.715] [PERF] latency=62ms, fps=13.0, objects=0
[16:32:32.793] [PERF] latency=46ms, fps=13.0, objects=0
[16:32:32.862] [PERF] latency=49ms, fps=13.0, objects=0
[16:32:32.923] [PERF] latency=43ms, fps=14.0, objects=0
[16:32:32.997] [PERF] latency=48ms, fps=14.0, objects=0
[16:32:33.075] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:33.169] [PERF] latency=75ms, fps=14.0, objects=0
[16:32:33.251] [PERF] latency=58ms, fps=14.0, objects=0
[16:32:33.334] [PERF] latency=57ms, fps=14.0, objects=0
[16:32:33.409] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:33.475] [PERF] latency=45ms, fps=13.0, objects=0
[16:32:33.543] [PERF] latency=47ms, fps=14.0, objects=0
[16:32:33.608] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:33.696] [PERF] latency=64ms, fps=14.0, objects=0
[16:32:33.771] [PERF] latency=44ms, fps=14.0, objects=0
[16:32:33.843] [PERF] latency=48ms, fps=14.0, objects=0
[16:32:33.909] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:33.978] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:34.054] [PERF] latency=45ms, fps=14.0, objects=0
[16:32:34.124] [PERF] latency=47ms, fps=14.0, objects=0
[16:32:34.189] [PERF] latency=46ms, fps=14.0, objects=0
[16:32:34.268] [PERF] latency=55ms, fps=14.0, objects=0
[16:32:34.347] [PERF] latency=49ms, fps=14.0, objects=0
[16:32:34.405] [PERF] latency=43ms, fps=15.0, objects=0
[16:32:34.481] [PERF] latency=53ms, fps=14.0, objects=0
